Answer any ...

Question One
The summarised draft statements of financial position of the Prestige and Samite at 31 March 2021 are as follows:


Additional information:
On 1 April 2020, Prestige acquired the following non-current investments:
6,000,000 shares in Samite by an exchange of two shares in Prestige for every four shares in Samite, plus GH₵1.25 per acquired Samite shares in cash. The market price of each Prestige share at the date of acquisition was GH₵6 and the market price of each Samite share at the date of acquisition was GH₵3.25. Retained earnings of Samite on 1 April 2020 were GH₵12,000,000.
Prestige acquired 30% of the ordinary shares of Adade Ltd for GH₵2,000,000 cash.

EXAM CODE 01
In addition, GH₵1,000,000 professional cost relating to the acquisition of Samite is included in the cost of the investment of Samite.
On the date of acquisition Samite had an internally generated brand name with estimated fair value of GH₵4,000,000 and an indefinite life. An impairment review at year end reveals that it has suffered impairment of GH₵800,000.
On 1 April 2020, Prestige sold an item of plant to Samite at its agreed fair value of GH₵5,000,000. Its carrying value prior to the sale was GH₵4,000,000 and the estimated remaining life of the plant at the date of sale was five years.
During the year ended 31 March 2021 Samite sold goods to Prestige for GH₵5,400,000 at a mark-up of 50% on cost. Prestige had a third of these goods in inventory at 31 March, 2021. There were no intra-group balances.
Prestige values non-controlling interests at fair value at the date of acquisition and the share price of Samite should be used for this purpose. Impairment test at year end concluded that GH₵3,000,000 of goodwill was impairment.
Adade’s profit after tax for the year to 31 March 2021 is GH₵800,000.

Required:
Prepare the consolidated statement of financial position for the Prestige Group as at 31 March 2021.    [20 Marks]

--- TABLES ---
 | PRESTIGE | SAMITE
 | GH₵000 | GH₵000
Non-current Assets |  | 
PPE | 36,800 | 18,500
Investment in Samite | 26,500 | 
Investment in Adade | 2,000 | 
Other Financial Assets | 13,000 | 
 |  | 
Current Assets |  | 
Inventory | 13,800 | 12,400
Accounts Receivable | 6,400 | 3,000
Cash/Bank | 16,000 | 2,300
 | 114,500 | 36,200
 |  | 
Equities and Liabilities |  | 
Ordinary Shares (GH₵1) | 23,000 | 8,000
Other Component of Equity | 15,000 | 
Retained Earnings | 50,500 | 17,800
 |  | 
Non-current Liabilities-7% Debentures | 10,000 | 2,000
Current Liabilities -Trade Payables | 16,000 | 8,400
 | 114,500 | 36,200
